WASHNORM stands for Water, Sanitation, and Hygiene National Outcome Routine Mapping.|WASHNORM is an acronym for Water, Sanitation, and Hygiene National Outcome Routine Mapping.|The full form of WASHNORM is Water Sanitation and Hygiene National Outcome Routine Mapping.
₦2.3 trillion or $5.9 billion was spent by households on hygiene services in 2021. | In 2021, households spent ₦2.3 trillion ($5.9 billion) on hygiene services. | ₦2.3 trillion ($5.9 billion) was spent on hygiene services by households in 2021.
48 million people practice open defecation. | 48 million people in Nigeria practice open defecation. | There are 48 million people in Nigeria who practice open defecation.
10% of the population have access to basic water, sanitation, and hygiene services. | Only 10% of the population has access to basic water, sanitation, and hygiene services. | 10% of the population in Nigeria have access to basic water, sanitation, and hygiene services.
67% of the population use basic drinking water services. | 67% of Nigerians have access to basic drinking water services. | 67% of the population use basic drinking water services.
10 liters is the average per capita volume of water for the rural population. | The average per capita volume of water for the rural population is 10 liters. | Rural Nigerians have an average per capita water supply of 10 liters per day.
46% percent of the population uses basic sanitation services. | 46% of the population in Nigeria have access to basic sanitation services. | 46% of the population use basic sanitation services.
17% of households have access to basic hygiene services. | 17% of households in Nigeria have access to basic hygiene services. | 17% of households are provided with basic hygiene services in Nigeria.
11% of schools have access to basic water, sanitation, and hygiene services. | Only 11% of schools have access to basic water, sanitation, and hygiene services. | 11% of schools in Nigeria have access to basic water, sanitation, and hygiene services.
6% of health facilities have basic water, sanitation, and hygiene services. | 6% of health facilities have access to basic water, sanitation, and hygiene services. | Only 6% of health facilities in Nigeria have access to basic water, sanitation, and hygiene services.
4% of markets and motor parks have basic water, sanitation, and hygiene services. | 4% of markets and motor parks in Nigeria have access to basic water, sanitation, and hygiene services. | Only 4% of markets and motor parks have access to basic water, sanitation, and hygiene services.
74 % of the household members who suffered diarrhoea cases are children under five. | 74% of the household members who suffered diarrhoea cases were children under five. | 74% of individuals who suffered from diarrhoea were children under the age of 5.
